nbr_hashtags,mean_engagement_total,median_engagement_total,mean_shares,median_shares
0,66.02627511591963,28.0,5.93353941267388,1.0
1,92.73333333333333,37.0,4.25,1.0
2,75.90566037735849,38.0,8.962264150943396,2.0
3,60.8,25.0,6.542857142857143,1.0
4,46.37,32.0,6.18,2.0
5,58.30708661417323,18.0,9.173228346456693,1.0
6,64.87128712871286,30.0,12.257425742574258,2.0
7,57.95762711864407,34.0,11.338983050847459,2.0
8,48.23170731707317,25.0,9.670731707317072,2.5
9,56.33870967741935,31.0,12.661290322580646,2.5
